benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.01734;0.09;619.627
bench1_base_variant;1024;1024;4096;0;0;0;0;13.9544;0.09;89.5773
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;13.9031;0.09;89.9078
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.62168;0.09;476.793
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.96173;0.09;422.051
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.0795;0.09;405.91
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.05701;0.09;408.897
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.94488;0.09;424.466
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32738;0.09;537.086
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.02288;0.09;617.931
bench1_base_variant;2048;1024;4096;0;0;0;0;15.3647;0.09;81.3553
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;15.3916;0.09;81.2129
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.6168;0.09;477.683
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.96173;0.09;422.051
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.06776;0.09;407.463
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.0524;0.09;409.514
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.94622;0.09;424.272
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.3228;0.09;538.144
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.01773;0.09;619.509
bench1_base_variant;4096;1024;4096;0;0;0;0;17.1862;0.09;72.7328
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;17.2075;0.09;72.6429
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.61147;0.09;478.657
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.96186;0.09;422.033
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.0649;0.09;407.844
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.05107;0.09;409.692
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.95995;0.09;422.304
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32477;0.09;537.688
