benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.701392;0.09;1782.17
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.681184;0.09;1835.04
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.582304;0.09;2146.65
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25085;0.09;555.346
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.594192;0.09;2103.7
bench1_base_variant;512;1024;4096;0;0;0;0;22.742;0.13;54.9643
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;22.2716;0.13;56.1252
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.50155;0.13;832.472
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.2193;0.13;1025.18
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.952256;0.13;1312.67
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.912896;0.13;1369.27
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.750096;0.13;1666.45
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.35146;0.13;531.586
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.749888;0.13;1666.92
bench1_base_variant;1024;1024;4096;0;0;0;0;20.6281;0.13;60.5971
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;15.8597;0.13;78.816
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40773;0.13;887.956
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.18758;0.13;1052.56
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.935936;0.13;1335.56
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.898384;0.13;1391.39
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.785584;0.13;1591.17
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32458;0.13;537.732
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.790448;0.13;1581.38
bench1_base_variant;2048;1024;4096;0;0;0;0;10.0098;0.13;124.878
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;3.36507;0.13;371.463
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40515;0.13;889.584
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.18283;0.13;1056.79
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.90456;0.13;1381.89
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.87376;0.13;1430.6
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.773632;0.13;1615.76
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32438;0.13;537.777
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.778192;0.13;1606.29
bench1_base_variant;4096;1024;4096;0;0;0;0;6.79013;0.13;184.091
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.3059;0.13;290.299
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40005;0.13;892.826
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.18962;0.13;1050.76
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.889808;0.13;1404.8
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.865936;0.13;1443.52
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.77448;0.13;1613.99
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32714;0.13;537.141
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.7776;0.13;1607.51
bench1_base_variant;512;1024;4096;0;0;0;0;29.4842;0.17;42.3956
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;27.6291;0.17;45.2422
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.64445;0.17;760.133
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.33738;0.17;934.666
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.09582;0.17;1140.69
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.06075;0.17;1178.41
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.929648;0.17;1344.59
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.43744;0.17;512.833
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.931696;0.17;1341.64
bench1_base_variant;1024;1024;4096;0;0;0;0;26.6641;0.17;46.8795
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;23.1202;0.17;54.0652
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57672;0.17;792.785
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.34963;0.17;926.178
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.11074;0.17;1125.38
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.07269;0.17;1165.3
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.968784;0.17;1290.28
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40146;0.17;520.518
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.969776;0.17;1288.96
