benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;15.4493;0.09;80.9096
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.63494;0.09;474.393
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.96509;0.09;421.573
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.07499;0.09;406.505
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.05318;0.09;409.409
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.9584;0.09;422.526
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33338;0.09;535.704
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.02186;0.09;618.244
bench1_base_variant;4096;1024;4096;0;0;0;0;17.1888;0.09;72.7218
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;17.1928;0.09;72.7047
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.64264;0.09;473.012
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.9704;0.09;420.819
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.07099;0.09;407.035
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.05688;0.09;408.914
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.95936;0.09;422.389
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33314;0.09;535.76
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.02152;0.09;618.347
bench1_base_variant;512;1024;4096;0;0;0;0;18.6815;0.13;66.9112
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;18.6729;0.13;66.942
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.05406;0.13;409.291
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.19109;0.13;391.716
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.42653;0.13;364.801
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.30451;0.13;378.271
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.14882;0.13;396.975
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5505;0.13;490.101
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.27392;0.13;549.712
bench1_base_variant;1024;1024;4096;0;0;0;0;19.048;0.13;65.6235
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;19.0111;0.13;65.751
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.93829;0.13;425.418
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.0589;0.13;408.644
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.17198;0.13;394.075
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.14582;0.13;397.352
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.03115;0.13;412.384
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41398;0.13;517.816
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.29874;0.13;543.777
bench1_base_variant;2048;1024;4096;0;0;0;0;20.5794;0.13;60.7402
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;20.6052;0.13;60.6644
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.89602;0.13;431.627
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.05602;0.13;409.029
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.16925;0.13;394.415
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.13563;0.13;398.644
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.04397;0.13;410.648
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40669;0.13;519.386
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.29254;0.13;545.246
bench1_base_variant;4096;1024;4096;0;0;0;0;21.962;0.13;56.9164
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;22.0036;0.13;56.8089
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.8961;0.13;431.616
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.05936;0.13;408.582
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.1583;0.13;395.782
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.14592;0.13;397.34
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.04802;0.13;410.103
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41133;0.13;518.387
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.2939;0.13;544.923
bench1_base_variant;512;1024;4096;0;0;0;0;23.9457;0.17;52.2014
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;23.9289;0.17;52.2381
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.16646;0.17;394.762
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.1365;0.17;398.534
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.37539;0.17;370.327
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.30659;0.17;378.033
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.17883;0.17;393.226
