benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.62688;0.09;571.02
bench1_base_variant;4096;1024;4096;0;0;0;0;33.6884;0.09;44.5257
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;33.6569;0.09;44.5674
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.52136;0.09;425.972
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;5.4529;0.09;275.083
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;5.52878;0.09;271.307
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;5.51179;0.09;272.144
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;5.41533;0.09;276.992
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.76746;0.09;398.147
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.62838;0.09;570.693
bench1_base_variant;512;1024;4096;0;0;0;0;33.7076;0.13;44.5003
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;33.379;0.13;44.9384
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.26974;0.13;351.309
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;5.64275;0.13;265.828
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;5.92528;0.13;253.153
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;5.90469;0.13;254.035
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;5.71454;0.13;262.488
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.04944;0.13;370.422
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.72696;0.13;550.063
bench1_base_variant;1024;1024;4096;0;0;0;0;36.8689;0.13;40.6848
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;36.9467;0.13;40.599
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.6724;0.13;408.452
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;5.65818;0.13;265.103
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;8.04515;0.13;186.448
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;5.83986;0.13;256.856
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;5.72171;0.13;262.159
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.82653;0.13;392
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.79146;0.13;537.354
bench1_base_variant;2048;1024;4096;0;0;0;0;40.3084;0.13;37.2131
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;40.2158;0.13;37.2988
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.65802;0.13;410.058
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;5.65635;0.13;265.189
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;5.72779;0.13;261.881
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;5.71872;0.13;262.296
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;5.6037;0.13;267.68
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.82565;0.13;392.09
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.77677;0.13;540.196
bench1_base_variant;4096;1024;4096;0;0;0;0;43.3325;0.13;34.6161
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;43.3947;0.13;34.5664
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.67403;0.13;408.271
