benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.751296;0.09;1663.79
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.606288;0.09;2061.73
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.55512;0.09;489.214
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.61064;0.09;2047.03
bench1_base_variant;1024;1024;4096;0;0;0;0;12.6898;0.09;98.504
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;5.32987;0.09;234.527
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.24696;0.09;1002.44
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.02584;0.09;1218.51
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.742432;0.09;1683.66
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.711872;0.09;1755.93
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.598736;0.09;2087.73
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24306;0.09;557.275
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.599584;0.09;2084.78
bench1_base_variant;2048;1024;4096;0;0;0;0;7.15189;0.09;174.779
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.31066;0.09;540.972
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23792;0.09;1009.76
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.999824;0.09;1250.22
