benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;13.9569;0.09;89.5614
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.6419;0.09;473.144
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.9665;0.09;421.373
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.08595;0.09;405.061
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.06632;0.09;407.655
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.95168;0.09;423.488
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33493;0.09;535.348
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.02528;0.09;617.199
bench1_base_variant;2048;1024;4096;0;0;0;0;15.4032;0.09;81.1522
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;15.3349;0.09;81.5133
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.61885;0.09;477.309
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.96482;0.09;421.611
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.07682;0.09;406.264
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.06114;0.09;408.345
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.95358;0.09;423.215
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33669;0.09;534.945
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.02002;0.09;618.807
bench1_base_variant;4096;1024;4096;0;0;0;0;17.1775;0.09;72.7695
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;17.1916;0.09;72.71
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.62278;0.09;476.593
