benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.81728;0.13;1376.52
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.74736;0.13;1505.3
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.722208;0.13;1557.72
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.626464;0.13;1795.79
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20418;0.13;510.395
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.626928;0.13;1794.46
bench1_base_variant;4096;1024;4096;0;0;0;0;4.38674;0.13;256.455
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.29757;0.13;261.776
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.897936;0.13;1252.87
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.803232;0.13;1400.59
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.704976;0.13;1595.8
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.69736;0.13;1613.23
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.61352;0.13;1833.68
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20523;0.13;510.15
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.615552;0.13;1827.63
bench1_base_variant;512;1024;4096;0;0;0;0;12.2831;0.17;91.5895
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;11.9695;0.17;93.9891
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.09602;0.17;1026.44
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.977936;0.17;1150.38
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.927408;0.17;1213.06
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.898944;0.17;1251.47
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.7716;0.17;1458.01
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.29149;0.17;490.947
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.771744;0.17;1457.74
bench1_base_variant;1024;1024;4096;0;0;0;0;7.44946;0.17;151.018
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;4.74301;0.17;237.191
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05954;0.17;1061.79
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.968592;0.17;1161.48
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.919376;0.17;1223.66
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.890848;0.17;1262.84
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.79016;0.17;1423.76
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.28421;0.17;492.512
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.791168;0.17;1421.95
bench1_base_variant;2048;1024;4096;0;0;0;0;3.54154;0.17;317.659
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.30773;0.17;487.492
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05573;0.17;1065.62
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.96952;0.17;1160.37
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.904224;0.17;1244.16
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.87848;0.17;1280.62
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.787392;0.17;1428.77
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.28362;0.17;492.64
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.786896;0.17;1429.67
bench1_base_variant;4096;1024;4096;0;0;0;0;4.42923;0.17;253.994
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.32686;0.17;260.004
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05608;0.17;1065.26
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.925648;0.17;1215.36
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.85112;0.17;1321.79
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.859888;0.17;1308.31
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.775376;0.17;1450.91
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.2827;0.17;492.837
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.778864;0.17;1444.41
bench1_base_variant;512;1024;4096;0;0;0;0;16.2235;0.21;69.3437
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;16.0502;0.21;70.0926
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.26811;0.21;887.146
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.15027;0.21;978.03
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.09482;0.21;1027.57
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.06155;0.21;1059.77
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.939216;0.21;1197.81
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.52992;0.21;444.678
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.937248;0.21;1200.32
