benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.490496;0.13;2293.6
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.90824;0.17;162.849
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.00357;0.17;187.389
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.8032;0.17;1400.65
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.787968;0.17;1427.72
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.751104;0.17;1497.8
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.73472;0.17;1531.2
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.618464;0.17;1819.02
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.05621;0.17;547.124
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.61696;0.17;1823.46
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.87885;0.17;230.587
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.29114;0.17;341.827
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.792912;0.17;1418.82
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.785408;0.17;1432.38
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.73464;0.17;1531.36
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.71424;0.17;1575.1
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.611328;0.17;1840.26
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.01736;0.17;557.659
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.609792;0.17;1844.89
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.3424;0.17;480.277
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.8657;0.17;602.992
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.787456;0.17;1428.65
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.77568;0.17;1450.34
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.718336;0.17;1566.12
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.704288;0.17;1597.36
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.60928;0.17;1846.44
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.03018;0.17;554.139
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.611328;0.17;1840.26
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.43706;0.17;327.315
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.44832;0.17;326.246
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.78736;0.17;1428.83
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.738816;0.17;1522.71
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.694784;0.17;1619.21
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.699904;0.17;1607.36
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.613376;0.17;1834.11
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02138;0.17;556.552
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.61608;0.17;1826.06
bench1_base_variant;512;1;1024;4096;0;0;0;0;9.99883;0.21;112.513
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;9.49744;0.21;118.453
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.930784;0.21;1208.66
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.914944;0.21;1229.58
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.885248;0.21;1270.83
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.867328;0.21;1297.09
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.755536;0.21;1489.01
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11093;0.21;532.941
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.753664;0.21;1492.71
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.8265;0.21;164.799
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;4.64314;0.21;242.293
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.915408;0.21;1228.96
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.902656;0.21;1246.32
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.866272;0.21;1298.67
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.84976;0.21;1323.9
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.748848;0.21;1502.31
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.08998;0.21;538.282
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.746768;0.21;1506.49
bench1_base_variant;2048;1;1024;4096;0;0;0;0;3.2009;0.21;351.464
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.49664;0.21;450.606
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.914352;0.21;1230.38
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.903168;0.21;1245.62
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.850336;0.21;1323.01
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.837632;0.21;1343.07
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.741376;0.21;1517.45
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.08987;0.21;538.311
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.740352;0.21;1519.55
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.37318;0.21;333.513
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.37818;0.21;333.02
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.91392;0.21;1230.96
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.89088;0.21;1262.8
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.82936;0.21;1356.47
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.835072;0.21;1347.19
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.748032;0.21;1503.95
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.0915;0.21;537.89
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.752128;0.21;1495.76
bench1_base_variant;512;1;1024;4096;0;0;0;0;12.9356;0.25;86.9692
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;13.0621;0.25;86.1269
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05165;0.25;1069.75
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.01733;0.25;1105.84
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.00403;0.25;1120.48
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.988672;0.25;1137.89
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.871936;0.25;1290.23
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16365;0.25;519.955
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.871872;0.25;1290.33
bench1_base_variant;1024;1;1024;4096;0;0;0;0;10.24;0.25;109.863
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;7.77826;0.25;144.634
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.04334;0.25;1078.26
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.00608;0.25;1118.2
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.982016;0.25;1145.6
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.969216;0.25;1160.73
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.864688;0.25;1301.05
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.14733;0.25;523.907
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.863744;0.25;1302.47
bench1_base_variant;2048;1;1024;4096;0;0;0;0;4.48819;0.25;250.658
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.44566;0.25;326.497
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.03936;0.25;1082.4
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.00762;0.25;1116.5
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.968704;0.25;1161.35
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.960512;0.25;1171.25
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.866752;0.25;1297.95
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.14629;0.25;524.161
