benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.71168;0.17;1756.41
bench1_base_variant;1024;1;1024;4096;0;0;0;0;14.573;0.17;85.775
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;11.1795;0.17;111.812
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.992144;0.17;1259.9
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.05619;0.17;1183.5
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.830976;0.17;1504.26
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.826272;0.17;1512.82
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.708096;0.17;1765.3
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.06848;0.17;604.308
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.710656;0.17;1758.94
bench1_base_variant;2048;1;1024;4096;0;0;0;0;9.43661;0.17;132.463
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;4.94598;0.17;252.73
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.983552;0.17;1270.9
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.05626;0.17;1183.43
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.811008;0.17;1541.29
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.810496;0.17;1542.27
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.706032;0.17;1770.46
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.06581;0.17;605.09
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.711088;0.17;1757.87
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.60851;0.17;271.237
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.4103;0.17;366.536
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.986624;0.17;1266.95
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.06138;0.17;1177.72
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.804864;0.17;1553.06
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.804272;0.17;1554.2
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.7096;0.17;1761.56
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.06986;0.17;603.907
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.719328;0.17;1737.73
bench1_base_variant;512;1;1024;4096;0;0;0;0;22.2254;0.21;56.2419
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;21.9315;0.21;56.9956
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.14842;0.21;1088.46
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.19136;0.21;1049.22
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.00147;0.21;1248.16
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.987648;0.21;1265.63
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.8576;0.21;1457.56
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12224;0.21;589
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.853104;0.21;1465.24
bench1_base_variant;1024;1;1024;4096;0;0;0;0;20.5134;0.21;60.9359
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;18.4295;0.21;67.8261
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.1351;0.21;1101.22
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.1817;0.21;1057.8
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.977888;0.21;1278.27
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.96296;0.21;1298.08
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.848896;0.21;1472.5
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12211;0.21;589.036
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.850432;0.21;1469.84
bench1_base_variant;2048;1;1024;4096;0;0;0;0;13.1436;0.21;95.1037
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;7.51819;0.21;166.263
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.11678;0.21;1119.29
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.1863;0.21;1053.69
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.958336;0.21;1304.34
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.943104;0.21;1325.41
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.842752;0.21;1483.24
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.11456;0.21;591.139
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.846848;0.21;1476.06
bench1_base_variant;4096;1;1024;4096;0;0;0;0;5.26282;0.21;237.515
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.36128;0.21;371.882
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.10738;0.21;1128.79
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.1873;0.21;1052.81
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.953344;0.21;1311.17
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.943488;0.21;1324.87
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.842752;0.21;1483.24
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.10944;0.21;592.574
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.850432;0.21;1469.84
bench1_base_variant;512;1;1024;4096;0;0;0;0;25.6854;0.25;48.6658
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;25.046;0.25;49.9082
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.28912;0.25;969.654
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.29587;0.25;964.601
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.12885;0.25;1107.32
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.11155;0.25;1124.55
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.983536;0.25;1270.92
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.18368;0.25;572.428
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.987168;0.25;1266.25
bench1_base_variant;1024;1;1024;4096;0;0;0;0;26.0766;0.25;47.9357
